"task_name","behavior_data","start_time","user_id","user_name","session_id","task_type","status","id","created_date","updated_date","created_by_id","created_by","is_sample"
"PDF to Word Typing Task 1","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":3,""last_switch_time"":""2026-06-23T17:57:41.315Z"",""window_minimized_seconds"":8260,""screen_hidden_events"":3,""idle_time_seconds"":480,""active_seconds"":142,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-23T02:27:33.031Z""}","2026-06-23T15:39:38.162Z","6a3a6ee43cb2f02dc680e789","aman","session_1782229178162_9ahe7zns4","PDF to Word Typing","LIVE","6a3aa8bac7c69a1bbcc7fbae","2026-06-23T15:39:38.743000","2026-06-23T18:27:40.663000","anonymous","anonymous","false"
"Form Filling Task 1","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":2,""last_switch_time"":""2026-06-23T09:50:11.203Z"",""window_minimized_seconds"":41,""screen_hidden_events"":2,""idle_time_seconds"":145,""active_seconds"":146,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-23T09:47:08.974Z"",""last_activity"":""2026-06-23T09:52:19.950Z""}","2026-06-23T09:46:30.063Z","6a3a4ba020ba6c1daaaf6327","utsav","session_1782207990063_eyj9xu0zm","Form Filling","LIVE","6a3a55f6148cb996f8a8c3ea","2026-06-23T09:46:30.383000","2026-06-23T09:55:23.310000","anonymous","anonymous","false"
"Data Entry Task 3","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":2,""last_switch_time"":""2026-06-23T09:42:29.047Z"",""window_minimized_seconds"":21,""screen_hidden_events"":2,""idle_time_seconds"":50,""active_seconds"":120,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-23T09:40:46.784Z"",""last_activity"":""2026-06-23T09:43:26.094Z""}","2026-06-23T09:40:23.623Z","6a3a4ba020ba6c1daaaf6327","utsav","session_1782207623623_6e0urnfkl","Data Entry","LIVE","6a3a5487bc95dcb49f063441","2026-06-23T09:40:23.566000","2026-06-23T09:43:25.971000","anonymous","anonymous","false"
"Data Entry Task 1","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":3,""last_switch_time"":""2026-06-23T09:20:27.886Z"",""window_minimized_seconds"":835,""screen_hidden_events"":3,""idle_time_seconds"":160,""active_seconds"":150,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-23T09:04:38.560Z"",""last_activity"":""2026-06-23T09:21:22.978Z""}","2026-06-23T09:04:14.777Z","6a3a4ba020ba6c1daaaf6327","utsav","session_1782205454777_hgfnnq8ps","Data Entry","LIVE","6a3a4c0fe0c2f5b982ec8666","2026-06-23T09:04:15","2026-06-23T09:21:22.845000","anonymous","anonymous","false"
